genome	fastbaps_group	n_contigs	N50	total_len	assembly_level	checkm_completeness	checkm_contamination	seq_tech	strain	isolate
GCF_041429915.1	15	1	1824088	1824088	Complete Genome	98.72		Illumina NextSeq 500, Nanopore GridION	Isolate 34	
GCF_041429935.1	10	1	1792154	1792154	Complete Genome	98.98		Illumina NextSeq 500, Nanopore GridION	Isolate 35	
GCF_041429945.1	9	1	1835659	1835659	Complete Genome	99.72		Illumina NextSeq 500, Nanopore GridION	Isolate 33	
GCF_041430105.1	9	1	1837281	1837281	Complete Genome	99.72		Illumina NextSeq 500, Nanopore GridION	Isolate 31	
GCF_041430535.1	12	1	1968420	1968420	Complete Genome	98.62	0.17	Illumina NextSeq 500, Nanopore GridION	Isolate 30	
GCF_041430835.1	9	1	1835951	1835951	Complete Genome	99.72		Illumina NextSeq 500, Nanopore GridION	Isolate 29	
GCF_041430845.1	15	1	1903662	1903662	Complete Genome	99.01	0.08	Illumina NextSeq 500, Nanopore GridION	Isolate 28	
GCF_041430855.1	7	1	1888397	1888397	Complete Genome	99.24		Illumina NextSeq 500, Nanopore GridION	Isolate 27	
GCF_041430865.1	10	1	1814188	1814188	Complete Genome	99.13		Illumina NextSeq 500, Nanopore GridION	Isolate 26	
GCF_041430875.1	3	1	1906997	1906997	Complete Genome	98.9		Illumina NextSeq 500, Nanopore GridION	Isolate 23	
GCF_041430885.1	9	1	1798747	1798747	Complete Genome	99.72		Illumina NextSeq 500, Nanopore GridION	Isolate 24	
GCF_041430895.1	3	1	1929508	1929508	Complete Genome	98.9		Illumina NextSeq 500, Nanopore GridION	Isolate 22	
GCF_041430915.1	7	1	1888396	1888396	Complete Genome	99.24		Illumina NextSeq 500, Nanopore GridION	Isolate 18	
GCF_041430925.1	3	1	1894463	1894463	Complete Genome	98.87		Illumina NextSeq 500, Nanopore GridION	Isolate 17	
GCF_041430935.1	5	1	1721843	1721843	Complete Genome	97.83		Illumina NextSeq 500, Nanopore GridION	Isolate 16	
GCF_041430945.1	3	1	1931613	1931613	Complete Genome	98.87		Illumina NextSeq 500, Nanopore GridION	Isolate 11	
GCF_041430955.1	5	1	1742521	1742521	Complete Genome	97.43		Illumina NextSeq 500, Nanopore GridION	Isolate 12	
GCF_041430965.1	11	1	1760536	1760536	Complete Genome	98.57		Illumina NextSeq 500, Nanopore GridION	Isolate 10	
GCF_041430975.1	9	1	1837312	1837312	Complete Genome	99.72		Illumina NextSeq 500, Nanopore GridION	Isolate 9	
GCF_041430985.1	1	1	1860985	1860985	Complete Genome	99.6		Illumina NextSeq 500, Nanopore GridION	Isolate 8	
GCF_041430995.1	10	1	1837873	1837873	Complete Genome	99.47		Illumina NextSeq 500, Nanopore GridION	Isolate 7	
GCF_041431005.1	11	1	1741038	1741038	Complete Genome	98.49		Illumina NextSeq 500, Nanopore GridION	Isolate 6	
GCF_041431015.1	5	1	1792465	1792465	Complete Genome	98.1		Illumina NextSeq 500, Nanopore GridION	Isolate 4	
GCF_041431025.1	1	1	1922845	1922845	Complete Genome	99.47		Illumina NextSeq 500, Nanopore GridION	Isolate 5	
GCF_041431035.1	6	1	1900838	1900838	Complete Genome	99.08		Illumina NextSeq 500, Nanopore GridION	Isolate 3	
GCF_041431045.1	9	1	1851413	1851413	Complete Genome	99.72		Illumina NextSeq 500, Nanopore GridION	Isolate 2	
GCF_041431055.1	5	1	1721829	1721829	Complete Genome	97.94		Illumina NextSeq 500, Nanopore GridION	Isolate 1	
GCF_041447185.1	9	1	1835976	1835976	Complete Genome	99.72		Illumina NextSeq 500, Nanopore GridION	Isolate 32	
GCF_041877915.1	9	45	99051	1798414	Scaffold	99.72		Illumina MiSeq	C200400745	
GCF_041877925.1	12	51	100616	1807163	Scaffold	99.07		Illumina MiSeq	C200400744	
GCF_041877945.1	12	27	146455	1831176	Scaffold	99.28		Illumina MiSeq	C200400518	
GCF_041877955.1	9	156	26997	1773260	Scaffold	99.5	0.04	Illumina MiSeq	C200100888	
GCF_041878015.1	3	66	91187	1839361	Scaffold	98.24		Illumina MiSeq	C200302240	
GCF_041878035.1	10	73	63596	1790675	Scaffold	99.34	0.67	Illumina MiSeq	C200302022	
GCF_041878045.1	9	35	98744	1798637	Scaffold	99.69		Illumina MiSeq	C200302021	
GCF_041878115.1	12	247	15870	1780803	Scaffold	98.26	0.26	Illumina MiSeq	C200601573	
GCF_041878125.1	14	125	37656	1812822	Scaffold	98.73	0.07	Illumina MiSeq	C200500124	
GCF_041878155.1	14	66	68357	1730885	Scaffold	97.85	0.4	Illumina MiSeq	C200603038	
GCF_041878175.1	12	107	41411	1858705	Scaffold	99.28		Illumina MiSeq	C200501205	
GCF_041878195.1	5	91	47780	1754278	Scaffold	97.93	0.74	Illumina MiSeq	C200401014	
GCF_041878235.1	9	47	92357	1795231	Scaffold	99.72		Illumina MiSeq	C200603951	
GCF_041878295.1	10	114	31694	1740207	Scaffold	99.23		Illumina MiSeq	C200800792	
GCF_041878315.1	7	183	21527	1804727	Scaffold	97.27	0.67	Illumina MiSeq	C200907726	
GCF_041878335.1	2	160	20079	1712169	Scaffold	98.71	0.08	Illumina MiSeq	C200909964	
GCF_041878365.1	15	63	71480	1806385	Scaffold	99.21	0.08	Illumina MiSeq	C200501429	
GCF_041900675.1	14	22	162886	1739564	Scaffold	97.94	0.4	Illumina MiSeq	C220504061	
GCF_041900755.1	3	33	184504	1859561	Scaffold	98.83		Illumina MiSeq	C210700327	
GCF_041900775.1	3	78	71058	1809001	Scaffold	98.94	0.67	Illumina MiSeq	C210700326	
GCF_041900805.1	2	14	197785	1742147	Scaffold	99.69	0.08	Illumina MiSeq	C220502125	
GCF_041900815.1	13	27	225772	1844293	Scaffold	99.18	0.08	Illumina MiSeq	C221100732	
GCF_041900875.1	12	171	27117	1759255	Scaffold	97.49	0.43	Illumina MiSeq	C210801994	
GCF_041900915.1	7	39	90635	1805736	Scaffold	99.09	0.07	Illumina MiSeq	C210404490	
GCF_041900945.1	12	140	36310	1837394	Scaffold	97.78	0.48	Illumina MiSeq	C210201631	
GCF_041900995.1	12	77	69996	1788109	Scaffold	99.47	0.35	Illumina MiSeq	C210102199	
GCF_041901015.1	2	13	250686	1813156	Scaffold	99.69	0.35	Illumina MiSeq	C221201981	
GCF_041901025.1	3	15	243346	1818777	Scaffold	98.91		Illumina MiSeq	C221100663	
GCF_041901035.1	2	17	176720	1741898	Scaffold	99.69	0.08	Illumina MiSeq	C221101192	
GCF_041901045.1	2	12	197747	1743747	Scaffold	99.69	0.08	Illumina MiSeq	C221202104	
GCF_041901115.1	7	20	248750	1853486	Scaffold	99.3		Illumina MiSeq	C220402127	
GCF_041901125.1	13	34	124100	1746000	Scaffold	99.3		Illumina MiSeq	C221202223	
GCF_041901165.1	3	14	243429	1860954	Scaffold	98.94		Illumina MiSeq	C220402237	
GCF_041901195.1	10	33	160489	1795835	Scaffold	99.47		Illumina MiSeq	C221101191	
GCF_041901205.1	2	14	197649	1812814	Scaffold	99.4	0.35	Illumina MiSeq	C221100125	
GCF_041901295.1	10	28	148683	1797024	Scaffold	99.47		Illumina MiSeq	C220502510	
GCF_041901305.1	8	30	143294	1831529	Scaffold	98.69		Illumina MiSeq	C220503484	
GCF_041901325.1	2	23	137453	1810847	Scaffold	98.84	0.35	Illumina MiSeq	C221100355	
GCF_041901355.1	12	66	57715	1793643	Scaffold	98.59	0.5	Illumina MiSeq	C220300106	
GCF_041901415.1	12	45	127965	1818486	Scaffold	99.17		Illumina MiSeq	C210600452	
GCF_041901595.1	12	27	178244	1789052	Scaffold	99.47	0.35	Illumina MiSeq	C210600448	
GCF_041901915.1	1	62	68199	1857816	Scaffold	99.4	0.07	Illumina MiSeq	C210602462	
GCF_041901935.1	12	59	78691	1785272	Scaffold	98.84		Illumina MiSeq	C210701062	
GCF_041901985.1	12	68	93613	1856314	Scaffold	98.71	0.26	Illumina MiSeq	C210302665	
GCF_043231225.1	9	1	1853025	1853025	Complete Genome	99.53		Oxford Nanopore MinION; Illumina MiSeq	SF370	
GCF_044360805.1	12	1	1825662	1825662	Complete Genome	98.91		PacBio Sequel II	20154608	
GCF_044360885.1	10	1	1925891	1925891	Complete Genome	98.47		PacBio Sequel II	20200554	
GCF_044360945.1	10	1	1925871	1925871	Complete Genome	98.63		PacBio Sequel II	20203206	
GCF_044361035.1	10	1	1886178	1886178	Complete Genome	98.19		PacBio Sequel II	20192362	
GCF_044361075.1	10	1	1955972	1955972	Complete Genome	98.63		PacBio Sequel II	20154051	
GCF_044361135.1	10	1	1921124	1921124	Complete Genome	98.18		PacBio Sequel II	20164915	
GCF_044361195.1	10	1	2004039	2004039	Complete Genome	98.63		PacBio Sequel II	20181688	
GCF_044361245.1	10	1	1884952	1884952	Complete Genome	99.47		PacBio Sequel II	20185322	
GCF_044361285.1	10	1	1831885	1831885	Complete Genome	99.43		PacBio Sequel II	20160179	
GCF_045290375.1	9	1	1838576	1838576	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37817	
GCF_045290385.1	9	1	1838577	1838577	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37822	
GCF_045290395.1	9	1	1838576	1838576	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37823	
GCF_045290405.1	9	1	1838577	1838577	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37829	
GCF_045290435.1	9	1	1838579	1838579	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37843	
GCF_045290545.1	9	1	1838608	1838608	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37844	
GCF_045290615.1	9	1	1838577	1838577	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37850	
GCF_045290705.1	9	1	1838577	1838577	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37857	
GCF_045290995.1	9	1	1838510	1838510	Complete Genome	99.71		Illumina NextSeq;Oxford Nanopore GridION	MGAS38345	
GCF_045345455.1	12	1	1793507	1793507	Complete Genome	99.4	0.4	Illumina; Oxford Nanopore	EMM113	
GCF_045690025.1	9	1	1838574	1838574	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37826	
GCF_045690035.1	9	1	1838573	1838573	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37828	
GCF_045690045.1	9	1	1838576	1838576	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37831	
GCF_045690055.1	9	1	1842386	1842386	Complete Genome	99.39		Illumina NextSeq;Oxford Nanopore GridION	MGAS37832	
GCF_045690075.1	9	1	1838600	1838600	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37834	
GCF_045690085.1	9	1	1838791	1838791	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37836	
GCF_045690095.1	9	1	1838578	1838578	Complete Genome	99.67		Illumina NextSeq;Oxford Nanopore GridION	MGAS37839	
GCF_045690105.1	9	1	1838599	1838599	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37842	
GCF_045690125.1	9	1	1838576	1838576	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37848	
GCF_045690155.1	9	1	1842088	1842088	Complete Genome	99.39		Illumina NextSeq;Oxford Nanopore GridION	MGAS37854	
GCF_045690165.1	9	1	1838573	1838573	Complete Genome	99.32		Illumina NextSeq;Oxford Nanopore GridION	MGAS37859	
GCF_045690175.1	9	1	1838577	1838577	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37861	
GCF_045690185.1	9	1	1838576	1838576	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37637	
GCF_045690195.1	9	1	1837250	1837250	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37641	
GCF_045690205.1	9	1	1844577	1844577	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37642	
GCF_045690215.1	9	1	1838580	1838580	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37644	
GCF_045690235.1	9	1	1831240	1831240	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS38289	
GCF_045690245.1	9	1	1838512	1838512	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS38337	
GCF_045690255.1	9	1	1838801	1838801	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS38343	
GCF_045690265.1	9	1	1838637	1838637	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS38362	
GCF_046498965.1	15	91	74176	1835267	Scaffold	98.45		Illumina MiSeq	MGAS8232sagslo	
GCF_046883085.1	10	36	147865	1779687	Scaffold	99.12		Illumina NovaSeq	232186	
GCF_046883165.1	10	35	147865	1779967	Scaffold	99.18		Illumina NovaSeq	950634	
GCF_047370775.1	3	51	208722	1930390	Scaffold	98.97		Illumina NovaSeq	967127	
GCF_050823505.1	12	1	1795127	1795127	Complete Genome	99.08		Oxford Nanopore GridION; Illumina NextSeq	DMG2301705	
GCF_050823515.1	9	1	1836143	1836143	Complete Genome	99.72		Oxford Nanopore GridION; Illumina NextSeq	DMG2211972	
GCF_050824005.1	13	1	1779058	1779058	Complete Genome	99.44		Oxford Nanopore GridION; Illumina NextSeq	DMG2301723	
GCF_051042455.1	13	377	76095	1936418	Scaffold	99.64	2.4	MGIs DNBSEQ	S9276	
GCF_051042475.1	9	181	123198	1802450	Scaffold	99.06	1.11	MGIs DNBSEQ	S9250	
GCF_051042495.1	9	34	122519	1814918	Scaffold	99.72	0.17	MGIs DNBSEQ	S9030	
GCF_051042515.1	5	244	155844	1811780	Scaffold	98.07	0.07	MGIs DNBSEQ	S8957	
GCF_051042535.1	14	115	234754	1986789	Scaffold	99.62	0.42	MGIs DNBSEQ	S9016	
GCF_051042555.1	9	142	123198	1830473	Scaffold	99.72	0.54	MGIs DNBSEQ	S8945	
GCF_051042575.1	10	178	181363	1891481	Scaffold	99.47	3.13	MGIs DNBSEQ	S8600	
GCF_051042595.1	13	61	287723	1799803	Scaffold	98.72	0.08	MGIs DNBSEQ	S8573	
GCF_051042615.1	10	56	181672	1803263	Scaffold	99.47	0.04	MGIs DNBSEQ	S8427	
GCF_051042635.1	9	64	123186	1810151	Scaffold	99.72		MGIs DNBSEQ	S8316	
GCF_051042655.1	10	67	181888	1858146	Scaffold	99.47		MGIs DNBSEQ	S8248	
GCF_051042675.1	9	72	123098	1771121	Scaffold	99.06	0.35	MGIs DNBSEQ	S8011	
GCF_051530245.1	9	1	1838599	1838599	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37816	
GCF_051530255.1	9	1	1838572	1838572	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37815	
GCF_051530265.1	9	1	1832431	1832431	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37814	
GCF_051530275.1	9	1	1838598	1838598	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37813	
GCF_051530295.1	9	1	1838591	1838591	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37810	
GCF_051530305.1	9	1	1838576	1838576	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37809	
GCF_051530315.1	9	1	1838578	1838578	Complete Genome	99.72		Illumina NextSeq;Oxford Nanopore GridION	MGAS37808	
GCF_051530325.1	9	1	1835595	1835595	Complete Genome	99.51		Illumina NextSeq;Oxford Nanopore GridION	MGAS37807	
GCF_051530385.1	9	1	1835529	1835529	Complete Genome	99.69		Illumina NextSeq;Oxford Nanopore GridION	MGAS37800	
GCF_051628085.1	15	1	1897626	1897626	Complete Genome	99.56		PacBio	M5	
GCF_054574805.1	15	40	143586	1835039	Scaffold	98.81		Illumina NovaSeq 6000	CGAS390	
GCF_054574825.1	15	40	133899	1834654	Scaffold	98.81		Illumina NovaSeq 6000	CGAS392	
GCF_054574835.1	15	39	133900	1834541	Scaffold	98.81		Illumina NovaSeq 6000	CGAS391	
GCF_054574865.1	9	33	101284	1900599	Scaffold	99.72		Illumina NovaSeq 6000	CGAS389	
GCF_054574875.1	9	33	101284	1900600	Scaffold	99.72		Illumina NovaSeq 6000	CGAS388	
GCF_054574905.1	12	21	192611	1725662	Scaffold	99.33		Illumina NovaSeq 6000	CGAS387	
GCF_054574925.1	10	40	99659	1854353	Scaffold	99.25		Illumina NovaSeq 6000	CGAS386	
GCF_054574945.1	10	37	99659	1854143	Scaffold	99.25		Illumina NovaSeq 6000	CGAS385	
GCF_054574955.1	9	30	123079	1861327	Scaffold	99.72		Illumina NovaSeq 6000	CGAS384	
GCF_054574985.1	15	40	144067	1835513	Scaffold	98.64		Illumina NovaSeq 6000	CGAS382	
GCF_054574995.1	10	38	99660	1853494	Scaffold	99.14		Illumina NovaSeq 6000	CGAS383	
GCF_054575025.1	10	38	99659	1854210	Scaffold	99.14		Illumina NovaSeq 6000	CGAS381	
GCF_054575045.1	5	20	162947	1818448	Scaffold	98.1		Illumina NovaSeq 6000	CGAS379	
GCF_054575055.1	9	23	162955	1863341	Scaffold	99.71		Illumina NovaSeq 6000	CGAS380	
GCF_054575085.1	11	22	260470	1948536	Scaffold	98.1	0.08	Illumina NovaSeq 6000	CGAS378	
GCF_054575105.1	9	31	101296	1901216	Scaffold	99.72		Illumina NovaSeq 6000	CGAS377	
GCF_054575115.1	9	31	101296	1901227	Scaffold	99.72		Illumina NovaSeq 6000	CGAS376	
GCF_054575145.1	9	31	101296	1901216	Scaffold	99.72		Illumina NovaSeq 6000	CGAS375	
GCF_054575165.1	5	16	162947	1747485	Scaffold	98.05		Illumina NovaSeq 6000	CGAS374	
GCF_054575175.1	5	16	162947	1747319	Scaffold	98.1		Illumina NovaSeq 6000	CGAS373	
GCF_054575205.1	10	36	101322	1854091	Scaffold	99.14		Illumina NovaSeq 6000	CGAS372	
GCF_054575225.1	12	30	241182	1823140	Scaffold	99.28	0.23	Illumina NovaSeq 6000	CGAS371	
GCF_054575245.1	12	30	241182	1823468	Scaffold	99.28	0.23	Illumina NovaSeq 6000	CGAS370	
GCF_054575265.1	10	33	99659	1820977	Scaffold	99.25		Illumina NovaSeq 6000	CGAS369	
GCF_054575285.1	12	31	304075	1917126	Scaffold	98.66		Illumina NovaSeq 6000	CGAS368	
GCF_054575305.1	10	33	99659	1821472	Scaffold	99.25		Illumina NovaSeq 6000	CGAS367	
GCF_054575325.1	10	34	99659	1852968	Scaffold	99.25		Illumina NovaSeq 6000	CGAS366	
GCF_054575345.1	10	38	99659	1854118	Scaffold	99.25		Illumina NovaSeq 6000	CGAS365	
GCF_054575365.1	15	40	143732	1834740	Scaffold	98.81		Illumina NovaSeq 6000	CGAS363	
GCF_054575375.1	9	31	101296	1902003	Scaffold	99.61		Illumina NovaSeq 6000	CGAS364	
GCF_054575405.1	10	45	99839	1850874	Scaffold	99.25		Illumina NovaSeq 6000	CGAS362	
GCF_054575425.1	10	28	183484	1756939	Scaffold	99.47		Illumina NovaSeq 6000	CGAS361	
GCF_054575445.1	9	31	101297	1865017	Scaffold	99.56		Illumina NovaSeq 6000	CGAS360	
GCF_054575465.1	9	32	117969	1840912	Scaffold	99.72		Illumina NovaSeq 6000	CGAS359	
GCF_054575485.1	9	33	117969	1841349	Scaffold	99.72		Illumina NovaSeq 6000	CGAS358	
GCF_054575505.1	5	23	178371	1792634	Scaffold	98.05		Illumina NovaSeq 6000	CGAS357	
GCF_054575525.1	3	24	172944	1859188	Scaffold	98.94		Illumina NovaSeq 6000	CGAS356	
GCF_054575545.1	5	25	113151	1818725	Scaffold	98.1		Illumina NovaSeq 6000	CGAS355	
GCF_054575565.1	9	33	123050	1901031	Scaffold	99.59		Illumina NovaSeq 6000	CGAS354	
GCF_054575585.1	9	26	163287	1902955	Scaffold	99.06		Illumina NovaSeq 6000	CGAS353	
GCF_054575605.1	6	25	205140	1889566	Scaffold	99.13	0.08	Illumina NovaSeq 6000	CGAS351	
GCF_054575625.1	10	37	99667	1850958	Scaffold	99.25		Illumina NovaSeq 6000	CGAS350	
GCF_054575645.1	9	31	123150	1900772	Scaffold	99.72		Illumina NovaSeq 6000	CGAS352	
GCF_054575665.1	5	16	178438	1774541	Scaffold	98.1		Illumina NovaSeq 6000	CGAS349	
GCF_054575685.1	10	37	99667	1851389	Scaffold	99.25		Illumina NovaSeq 6000	CGAS348	
GCF_054575705.1	10	38	99659	1852955	Scaffold	98.47		Illumina NovaSeq 6000	CGAS347	
GCF_054575725.1	9	31	123150	1900738	Scaffold	99.72		Illumina NovaSeq 6000	CGAS346	
GCF_054575745.1	10	39	99659	1853170	Scaffold	99.25		Illumina NovaSeq 6000	CGAS345	
GCF_054575765.1	11	22	308434	1796331	Scaffold	99.24		Illumina NovaSeq 6000	CGAS344	
GCF_054575785.1	10	33	99659	1821353	Scaffold	99.25		Illumina NovaSeq 6000	CGAS343	
GCF_054575805.1	9	27	123053	1906666	Scaffold	99.72		Illumina NovaSeq 6000	CGAS342	
GCF_054575825.1	9	30	101296	1901939	Scaffold	99.72		Illumina NovaSeq 6000	CGAS341	
GCF_054575845.1	10	34	99659	1821086	Scaffold	99.25		Illumina NovaSeq 6000	CGAS340	
GCF_054575865.1	10	35	99659	1852797	Scaffold	99.14		Illumina NovaSeq 6000	CGAS339	
GCF_054575885.1	10	39	99659	1854369	Scaffold	99.21		Illumina NovaSeq 6000	CGAS338	
GCF_054575905.1	11	21	267890	1857232	Scaffold	98.99	0.22	Illumina NovaSeq 6000	CGAS337	
GCF_054575925.1	10	30	99659	1825936	Scaffold	99.14		Illumina NovaSeq 6000	CGAS336	
GCF_054575945.1	9	27	123114	1863589	Scaffold	99.72		Illumina NovaSeq 6000	CGAS335	
GCF_054575965.1	10	32	99744	1849285	Scaffold	99.25		Illumina NovaSeq 6000	CGAS334	
GCF_054575985.1	10	36	99659	1854118	Scaffold	99.25		Illumina NovaSeq 6000	CGAS333	
GCF_054576005.1	10	35	99611	1853063	Scaffold	99.1		Illumina NovaSeq 6000	CGAS332	
GCF_054576025.1	10	39	99659	1853178	Scaffold	99.25		Illumina NovaSeq 6000	CGAS331	
GCF_054576045.1	9	33	123050	1901005	Scaffold	99.72		Illumina NovaSeq 6000	CGAS330	
GCF_054576065.1	10	39	99743	1854098	Scaffold	99.14		Illumina NovaSeq 6000	CGAS329	
GCF_054576085.1	10	41	99659	1854217	Scaffold	99.14		Illumina NovaSeq 6000	CGAS327	
GCF_054576105.1	10	50	121389	1848102	Scaffold	99.47		Illumina NovaSeq 6000	CGAS328	
GCF_054576125.1	10	38	99659	1854014	Scaffold	99.25		Illumina NovaSeq 6000	CGAS326	
GCF_054576145.1	9	31	123050	1900430	Scaffold	99.72		Illumina NovaSeq 6000	CGAS325	
GCF_054576165.1	10	38	99659	1854134	Scaffold	99.25		Illumina NovaSeq 6000	CGAS324	
GCF_054576185.1	9	34	123021	1902643	Scaffold	99.61		Illumina NovaSeq 6000	CGAS323	
GCF_054576205.1	10	32	101200	1826232	Scaffold	99.08		Illumina NovaSeq 6000	CGAS321	
GCF_054576225.1	10	45	99743	1852004	Scaffold	99.25		Illumina NovaSeq 6000	CGAS322	
GCF_054576245.1	10	39	99659	1874629	Scaffold	99.14		Illumina NovaSeq 6000	CGAS320	
GCF_054576265.1	10	44	99659	1852071	Scaffold	99.25		Illumina NovaSeq 6000	CGAS319	
GCF_054576285.1	10	43	99068	1851819	Scaffold	99.25		Illumina NovaSeq 6000	CGAS318	
GCF_054576305.1	10	38	99659	1851558	Scaffold	99.25		Illumina NovaSeq 6000	CGAS316	
GCF_054576325.1	10	32	148568	1853240	Scaffold	99.14		Illumina NovaSeq 6000	CGAS314	
GCF_054576345.1	10	45	99659	1852040	Scaffold	99.25		Illumina NovaSeq 6000	CGAS312	
GCF_054576365.1	9	31	122999	1900550	Scaffold	99.72		Illumina NovaSeq 6000	CGAS315	
GCF_054576385.1	10	32	149134	1814993	Scaffold	99.14		Illumina NovaSeq 6000	CGAS311	
GCF_054576405.1	10	31	99839	1848413	Scaffold	99.25		Illumina NovaSeq 6000	CGAS310	
GCF_054576445.1	10	38	99838	1854254	Scaffold	99.25		Illumina NovaSeq 6000	CGAS307	
GCF_054576465.1	5	23	155984	1774636	Scaffold	98.1		Illumina NovaSeq 6000	CGAS308	
GCF_054576485.1	10	39	99659	1851962	Scaffold	99.25		Illumina NovaSeq 6000	CGAS306	
GCF_054576505.1	10	30	99743	1848565	Scaffold	99.25		Illumina NovaSeq 6000	CGAS305	
GCF_054576525.1	10	27	101262	1818003	Scaffold	99.35		Illumina NovaSeq 6000	CGAS304	
GCF_054576545.1	5	16	178154	1773719	Scaffold	98.04		Illumina NovaSeq 6000	CGAS303	
GCF_054576605.1	4	19	267406	1828098	Scaffold	99.41	0.35	Illumina NovaSeq 6000	CGAS302	
GCF_054576645.1	12	46	180382	1836397	Scaffold	98.84	0.08	Illumina NovaSeq 6000	CGAS301	
GCF_054576665.1	9	32	101296	1839142	Scaffold	99.72		Illumina NovaSeq 6000	CGAS300	
GCF_054576685.1	4	13	270006	1829655	Scaffold	99.33	0.35	Illumina NovaSeq 6000	CGAS299	
GCF_054576705.1	4	13	270834	1829430	Scaffold	99.33	0.35	Illumina NovaSeq 6000	CGAS298	
GCF_054576785.1	10	36	99839	1853041	Scaffold	98.58		Illumina NovaSeq 6000	CGAS297	
GCF_054576805.1	12	19	256411	1659226	Scaffold	98.77	0.08	Illumina NovaSeq 6000	CGAS296	
GCF_054576825.1	10	36	99743	1853161	Scaffold	99.14		Illumina NovaSeq 6000	CGAS295	
GCF_054576865.1	7	24	249115	1848214	Scaffold	99.3		Illumina NovaSeq 6000	CGAS294	
GCF_054576885.1	9	30	101296	1901880	Scaffold	99.72		Illumina NovaSeq 6000	CGAS293	
GCF_054576905.1	12	33	257889	1810703	Scaffold	99.57		Illumina NovaSeq 6000	CGAS292	
GCF_054576925.1	9	25	203754	1799703	Scaffold	99.72		Illumina NovaSeq 6000	CGAS291	
GCF_054576945.1	10	39	99659	1853233	Scaffold	98.64		Illumina NovaSeq 6000	CGAS290	
GCF_054576965.1	10	38	148568	1817066	Scaffold	99.21		Illumina NovaSeq 6000	CGAS289	
GCF_054576985.1	4	15	295725	1820510	Scaffold	99.11		Illumina NovaSeq 6000	CGAS288	
GCF_054577005.1	10	31	149134	1816587	Scaffold	99.25		Illumina NovaSeq 6000	CGAS287	
GCF_054577025.1	9	36	123020	1909109	Scaffold	99.72		Illumina NovaSeq 6000	CGAS286	
GCF_054577045.1	9	32	123020	1900858	Scaffold	99.72		Illumina NovaSeq 6000	CGAS285	
GCF_054577065.1	10	40	99659	1854279	Scaffold	99.14		Illumina NovaSeq 6000	CGAS284	
GCF_054577085.1	5	16	178401	1774418	Scaffold	98.1		Illumina NovaSeq 6000	CGAS283	
GCF_054577105.1	9	32	123049	1900649	Scaffold	99.72		Illumina NovaSeq 6000	CGAS282	
GCF_054577145.1	10	38	99659	1852962	Scaffold	99.25		Illumina NovaSeq 6000	CGAS280	
GCF_054577165.1	10	38	99659	1852765	Scaffold	98.47		Illumina NovaSeq 6000	CGAS279	
GCF_054577185.1	9	33	101296	1900713	Scaffold	99.28		Illumina NovaSeq 6000	CGAS278	
GCF_054577205.1	9	32	123050	1900937	Scaffold	99.63		Illumina NovaSeq 6000	CGAS277	
GCF_054577225.1	9	32	123050	1900911	Scaffold	99.72		Illumina NovaSeq 6000	CGAS276	
GCF_054577245.1	10	36	148568	1817040	Scaffold	99.21		Illumina NovaSeq 6000	CGAS275	
